"le" "costs" "effects" "trt.costs" "trt.effects"
5.65283333333333 578462.984547189 4.35795904844793 625127.382915951 4.88719898402446
5.21733333333333 587591.831254528 4.09973271626055 586748.806187831 4.57512579116217
5.19158333333333 437589.038135017 4.09384812891568 535735.845496403 4.5568261346118
5.00733333333333 515435.818128433 3.93599056185883 521538.864506131 4.41033812293445
4.8075 468726.592348602 3.85413721805728 552182.33334535 4.26931114751783
4.7715 399517.277598315 3.86143198902486 563468.118249007 4.24113850154251
5.021 450302.214344668 3.97526814588547 608860.120172117 4.4342444203777
4.992 420479.399198058 3.88230163104578 615204.074710965 4.35029038023356
5.21841666666667 537439.889944903 4.09592307528166 547612.834030535 4.55177603343753
4.87383333333333 502292.185743932 3.79365870587407 544559.310959547 4.26134591038366
4.55675 423796.150756485 3.64115191205538 635199.147495086 4.04148994257321
3.86566666666667 364989.92344293 3.19403375835267 447963.366361159 3.49784799424194
5.20108333333333 596247.779074297 4.0437658851739 694406.201903381 4.53223856623372
5.81583333333333 639306.421631259 4.37260195146124 755263.617030127 4.95689532141877
5.67508333333333 563377.643247599 4.35200061436032 661461.471675128 4.90064838143941
4.92191666666667 537415.077110749 3.86401461707949 656757.358924319 4.31931984753404
5.53725 540246.568370043 4.2820006501573 707523.08260012 4.79716503511422
5.64641666666667 513153.893613133 4.34031364811865 729684.534504423 4.88256019030053
5.94108333333333 596512.309629945 4.54363884301574 666893.739248072 5.1273830682665
4.53316666666667 453231.022914077 3.65351871288334 534355.460764408 4.03442810441057
4.90716666666667 541326.571704659 3.87012902298557 608265.643372507 4.31434397756586
5.08533333333333 527763.812546282 4.0257156072934 563747.850478256 4.47825444922513
6.00891666666667 661803.721229741 4.6142620258538 695989.007817212 5.2014943502189
5.6845 603595.420743861 4.29139742806323 747184.19858041 4.88621676231413
5.31058333333333 485571.047880145 4.17893324118096 584976.250399017 4.64577150361761
4.74158333333333 438442.538915819 3.69367252124459 513205.995978224 4.13795745864697
4.23325 397253.53603124 3.46198951364236 478487.345623899 3.79082054074234
4.45575 462601.122339238 3.58963861385247 477374.706358883 3.95806608898145
4.60066666666667 464265.751401349 3.66940235045891 592920.420366581 4.07117174449649
5.04491666666667 512642.466549983 3.95896759248627 568958.382839035 4.38942227724135
4.1435 405436.198377015 3.34815057123972 616247.00185362 3.6953617140347
5.22891666666667 537966.168269134 4.0985247761594 603678.771954464 4.57468148419829
4.98075 457974.411358712 3.90705214283891 613880.872105682 4.35291531413333
5.22 575486.675864218 4.03854152897309 592471.473352103 4.54791613473247
4.90216666666667 492512.606254103 3.91758949798829 589437.249957728 4.33075398934455
5.34091666666667 506165.8529284 4.13239770634851 669304.080502829 4.6381788032393
5.737 515051.857746582 4.33081183032882 659991.773910366 4.89932807399434
5.44425 571892.98833586 4.23416355842742 583089.185256966 4.73369659019466
5.06208333333333 475082.721990016 3.92450677307501 479080.791668273 4.39577164593838
5.10108333333333 529832.705279137 4.0389623435512 648067.7922686 4.49392518620603
4.71825 412834.632823289 3.74855485158622 532075.833953018 4.14153162672953
4.88858333333333 555782.700452524 3.86873195796608 564428.993149113 4.30333731496961
4.80633333333333 456322.182315503 3.7765576669151 573648.698592838 4.21311628242757
5.56858333333333 525815.706453196 4.32250361503083 577089.549989597 4.83526415690548
5.71091666666667 592156.76611184 4.42204037783885 544883.887017364 4.93802514918326
5.00133333333333 500141.665282475 3.94925181931499 641895.499650748 4.38913928373044
5.61866666666667 568793.176118013 4.28403995305408 624070.554531323 4.84333031883022
4.932 423000.830965078 3.8701467820045 595628.875587416 4.33031184152962
3.94841666666667 383716.920447649 3.29322634197397 542979.206239909 3.58738787431847
5.028 478260.714926019 3.97123094605303 588120.526289653 4.40179851554158
6.299 626781.203529653 4.72386365879816 782885.55258823 5.37464742767502
5.16 475792.93132955 4.0494422093622 497117.127671103 4.52360570840534
4.94183333333333 505666.233120902 3.88831396796916 580030.594284561 4.32468454620715
4.82633333333333 437057.479163148 3.77657516296886 520921.508068266 4.21159881271886
4.65416666666667 395489.12783783 3.72315296559804 491808.210016081 4.12638649003574
5.92608333333333 590347.420306309 4.49085597116725 649203.429578853 5.07744621932543
4.51725 453091.793059647 3.59449333893292 509975.31150754 3.97727406344347
5.1195 506331.146352167 4.05274528616483 509116.23556824 4.49843410717708
5.33933333333333 546181.751824384 4.13888362686124 599360.838510787 4.64420522558382
5.18358333333333 477319.971041247 4.09106238315088 678293.480146258 4.53774376194993
4.46783333333333 464513.796179924 3.65857356018708 493239.096689392 4.02177252856457
4.60925 450745.30360498 3.64765740571515 543160.012837435 4.06171899337624
5.4765 593468.647090145 4.2007641553751 654375.83729402 4.74957617940834
5.187 575884.96976288 4.11922030324885 660708.142105037 4.56518655486
6.34183333333333 653102.475999884 4.78812968967828 735036.707112107 5.43550225397212
5.24725 561796.783867014 4.11557766111359 641377.441271322 4.61058927623391
5.3595 532730.04792391 4.1683437562845 553630.632924595 4.68150614938037
5.33083333333333 557352.1653999 4.19362247098631 719196.764227888 4.67641854662151
5.605 544615.758710462 4.35619291518739 739909.125358672 4.86421487223421
5.6095 557925.324546473 4.29985230135442 602120.968247651 4.81882765061457
5.56808333333333 539284.4277265 4.29217699255956 652981.813172987 4.8249074808392
4.69258333333333 429418.812020751 3.80098202752103 575641.478262602 4.17711819356828
3.5485 280435.681278428 3.03974302713579 391209.849433455 3.25365921210088
5.058 494676.971934535 4.03922691396115 596947.138853663 4.44421161087791
4.77816666666667 493928.508358169 3.80955337541833 532262.284556762 4.22723766148876
4.72616666666667 447149.50526037 3.8214532566635 488053.947638537 4.20040181381944
5.82966666666667 635496.170370572 4.45147493424854 702067.658223243 5.02232375543578
5.59225 625036.270762476 4.27028081722306 708473.578754312 4.81883761378411
5.29483333333333 585561.489785449 3.98445842657819 764590.609410874 4.53296449636025
4.34441666666667 376626.475570619 3.58657613355765 485921.98898147 3.911950784237
5.02683333333333 556089.733345382 3.9449242222769 713273.495963748 4.39237394742088
5.52416666666667 531608.530822868 4.27609639568842 713358.811189952 4.79469088647487
5.21291666666667 494929.769987282 4.05357908675423 614809.091590081 4.55050110379366
4.9005 456868.239726847 3.93952564277777 550156.628262431 4.35393533313026
4.466 443659.261227933 3.58889682157985 576906.248421107 3.96945778256555
4.24516666666667 394297.887978013 3.47411675929268 609098.591915082 3.79703229220994
4.79775 501295.696470676 3.80838402609913 501530.840760954 4.24099725347157
5.47941666666667 564988.82570518 4.2298261258061 697309.376623436 4.74374407929296
4.68308333333333 502565.348745183 3.72116890391664 561723.051060645 4.14218563375984
5.8635 580507.451652097 4.46358793810751 726982.230987516 5.02701703263578
4.769 505164.669452939 3.76262985792128 610251.624472504 4.21016594492516
4.56108333333333 448974.593226023 3.74134347176686 520718.856432972 4.08933176203548
4.39216666666667 468613.644605676 3.58230252958095 510371.886723385 3.93288403617749
5.27141666666667 535352.769730859 4.07742498918684 672695.088979776 4.57227519604638
4.59283333333333 419111.454873732 3.71092629712959 523784.159619752 4.09199461506051
5.30325 557187.923574431 4.13542341753065 553416.769936984 4.60509301933714
4.81025 517152.464206903 3.76951200136268 564516.093242422 4.20545515578788
4.43266666666667 437854.244494783 3.54173219532856 492809.279639835 3.90889116527227
5.34091666666667 565465.267030743 4.19367474618553 607868.051226193 4.66823446684336
5.30941666666667 582333.485798821 4.19361279185647 646785.912881401 4.66815012933211
5.02325 467407.84914757 3.92728893140631 575052.118120336 4.40674677922417
4.47425 476704.606422057 3.61111172532377 484419.023806435 4.00077711184454
5.67616666666667 576576.623809543 4.34591063478782 675575.327629706 4.90434335721701
4.50058333333333 444353.409159661 3.56900414379128 532611.308057631 3.98085802110598
5.24766666666667 518815.611976402 4.00511036218226 798754.848008071 4.50920146916634
4.80558333333333 494555.973416965 3.85828288675926 563862.718963737 4.26023903320023
5.636 487235.899328353 4.42464819227968 632327.229318374 4.90543205250562
4.71575 477333.643371458 3.801920351329 518557.883007976 4.20067530154163
6.66591666666667 743849.403331483 4.87088743689847 900632.539783874 5.61588981033761
