"Cycle" "Healthy" "Sick" "Dead"
0 1 0 0
0.0833333333333333 0.993 0.003 0.004
0.166666666666667 0.981 0.006 0.013
0.25 0.968 0.012 0.02
0.333333333333333 0.953 0.02 0.027
0.416666666666667 0.932 0.028 0.04
0.5 0.918 0.031 0.051
0.583333333333333 0.901 0.039 0.06
0.666666666666667 0.895 0.04 0.065
0.75 0.884 0.044 0.072
0.833333333333333 0.868 0.053 0.079
0.916666666666667 0.845 0.065 0.09
1 0.83 0.07 0.1
1.08333333333333 0.814 0.07 0.116
1.16666666666667 0.801 0.071 0.128
1.25 0.783 0.078 0.139
1.33333333333333 0.767 0.079 0.154
1.41666666666667 0.748 0.087 0.165
1.5 0.728 0.092 0.18
1.58333333333333 0.714 0.099 0.187
1.66666666666667 0.693 0.106 0.201
1.75 0.671 0.112 0.217
1.83333333333333 0.655 0.115 0.23
1.91666666666667 0.644 0.116 0.24
2 0.628 0.12 0.252
2.08333333333333 0.609 0.125 0.266
2.16666666666667 0.592 0.124 0.284
2.25 0.581 0.126 0.293
2.33333333333333 0.57 0.129 0.301
2.41666666666667 0.557 0.134 0.309
2.5 0.551 0.135 0.314
2.58333333333333 0.536 0.142 0.322
2.66666666666667 0.526 0.144 0.33
2.75 0.508 0.147 0.345
2.83333333333333 0.494 0.147 0.359
2.91666666666667 0.48 0.147 0.373
3 0.469 0.144 0.387
3.08333333333333 0.46 0.141 0.399
3.16666666666667 0.453 0.141 0.406
3.25 0.438 0.145 0.417
3.33333333333333 0.423 0.151 0.426
3.41666666666667 0.412 0.154 0.434
3.5 0.399 0.158 0.443
3.58333333333333 0.391 0.156 0.453
3.66666666666667 0.382 0.157 0.461
3.75 0.377 0.155 0.468
3.83333333333333 0.362 0.157 0.481
3.91666666666667 0.35 0.162 0.488
4 0.338 0.165 0.497
4.08333333333333 0.332 0.166 0.502
4.16666666666667 0.322 0.164 0.514
4.25 0.311 0.171 0.518
4.33333333333333 0.301 0.167 0.532
4.41666666666667 0.296 0.163 0.541
4.5 0.286 0.164 0.55
4.58333333333333 0.274 0.172 0.554
4.66666666666667 0.268 0.167 0.565
4.75 0.26 0.166 0.574
4.83333333333333 0.248 0.166 0.586
4.91666666666667 0.243 0.166 0.591
5 0.233 0.165 0.602
5.08333333333333 0.227 0.165 0.608
5.16666666666667 0.222 0.16 0.618
5.25 0.211 0.16 0.629
5.33333333333333 0.204 0.159 0.637
5.41666666666667 0.2 0.157 0.643
5.5 0.193 0.154 0.653
5.58333333333333 0.19 0.153 0.657
5.66666666666667 0.184 0.155 0.661
5.75 0.175 0.157 0.668
5.83333333333333 0.168 0.154 0.678
5.91666666666667 0.164 0.153 0.683
6 0.159 0.154 0.687
6.08333333333333 0.152 0.153 0.695
6.16666666666667 0.15 0.151 0.699
6.25 0.146 0.149 0.705
6.33333333333333 0.142 0.149 0.709
6.41666666666667 0.135 0.151 0.714
6.5 0.132 0.147 0.721
6.58333333333333 0.127 0.146 0.727
6.66666666666667 0.124 0.146 0.73
6.75 0.118 0.149 0.733
6.83333333333333 0.111 0.148 0.741
6.91666666666667 0.108 0.147 0.745
7 0.106 0.145 0.749
7.08333333333333 0.104 0.144 0.752
7.16666666666667 0.102 0.142 0.756
7.25 0.099 0.139 0.762
7.33333333333333 0.093 0.137 0.77
7.41666666666667 0.091 0.135 0.774
7.5 0.089 0.133 0.778
7.58333333333333 0.086 0.132 0.782
7.66666666666667 0.084 0.128 0.788
7.75 0.078 0.125 0.797
7.83333333333333 0.077 0.124 0.799
7.91666666666667 0.074 0.124 0.802
8 0.073 0.121 0.806
8.08333333333333 0.07 0.117 0.813
8.16666666666667 0.067 0.116 0.817
8.25 0.066 0.114 0.82
8.33333333333333 0.062 0.113 0.825
8.41666666666667 0.06 0.112 0.828
8.5 0.058 0.111 0.831
8.58333333333333 0.056 0.112 0.832
8.66666666666667 0.054 0.112 0.834
8.75 0.051 0.112 0.837
8.83333333333333 0.049 0.11 0.841
8.91666666666667 0.046 0.107 0.847
9 0.044 0.107 0.849
9.08333333333333 0.042 0.104 0.854
9.16666666666667 0.042 0.102 0.856
9.25 0.039 0.102 0.859
9.33333333333333 0.039 0.1 0.861
9.41666666666667 0.039 0.1 0.861
9.5 0.038 0.097 0.865
9.58333333333333 0.038 0.096 0.866
9.66666666666667 0.038 0.095 0.867
9.75 0.034 0.094 0.872
9.83333333333333 0.032 0.095 0.873
9.91666666666667 0.031 0.093 0.876
10 0.03 0.092 0.878
10.0833333333333 0.029 0.091 0.88
10.1666666666667 0.028 0.09 0.882
10.25 0.028 0.087 0.885
10.3333333333333 0.028 0.086 0.886
10.4166666666667 0.026 0.084 0.89
10.5 0.024 0.082 0.894
10.5833333333333 0.023 0.081 0.896
10.6666666666667 0.022 0.081 0.897
10.75 0.019 0.079 0.902
10.8333333333333 0.017 0.079 0.904
10.9166666666667 0.017 0.076 0.907
11 0.016 0.075 0.909
11.0833333333333 0.016 0.073 0.911
11.1666666666667 0.016 0.071 0.913
11.25 0.015 0.071 0.914
11.3333333333333 0.014 0.07 0.916
