"WTP" "Proportion.Standard.of.Care" "Proportion.Treatment"
0 0.952 0.048
20202.0202020202 0.93 0.07
40404.0404040404 0.902 0.098
60606.0606060606 0.876 0.124
80808.0808080808 0.854 0.146
101010.101010101 0.82 0.18
121212.121212121 0.778 0.222
141414.141414141 0.724 0.276
161616.161616162 0.682 0.318
181818.181818182 0.644 0.356
202020.202020202 0.588 0.412
222222.222222222 0.542 0.458
242424.242424242 0.498 0.502
262626.262626263 0.44 0.56
282828.282828283 0.394 0.606
303030.303030303 0.338 0.662
323232.323232323 0.3 0.7
343434.343434343 0.246 0.754
363636.363636364 0.218 0.782
383838.383838384 0.188 0.812
404040.404040404 0.162 0.838
424242.424242424 0.128 0.872
444444.444444444 0.11 0.89
464646.464646465 0.094 0.906
484848.484848485 0.082 0.918
505050.505050505 0.07 0.93
525252.525252525 0.064 0.936
545454.545454545 0.05 0.95
565656.565656566 0.044 0.956
585858.585858586 0.04 0.96
606060.606060606 0.034 0.966
626262.626262626 0.032 0.968
646464.646464646 0.03 0.97
666666.666666667 0.022 0.978
686868.686868687 0.014 0.986
707070.707070707 0.01 0.99
727272.727272727 0.01 0.99
747474.747474747 0.008 0.992
767676.767676768 0.004 0.996
787878.787878788 0.004 0.996
808080.808080808 0.004 0.996
828282.828282828 0.004 0.996
848484.848484849 0.002 0.998
868686.868686869 0.002 0.998
888888.888888889 0.002 0.998
909090.909090909 0.002 0.998
929292.929292929 0 1
949494.949494949 0 1
969696.96969697 0 1
989898.98989899 0 1
1010101.01010101 0 1
1030303.03030303 0 1
1050505.05050505 0 1
1070707.07070707 0 1
1090909.09090909 0 1
1111111.11111111 0 1
1131313.13131313 0 1
1151515.15151515 0 1
1171717.17171717 0 1
1191919.19191919 0 1
1212121.21212121 0 1
1232323.23232323 0 1
1252525.25252525 0 1
1272727.27272727 0 1
1292929.29292929 0 1
1313131.31313131 0 1
1333333.33333333 0 1
1353535.35353535 0 1
1373737.37373737 0 1
1393939.39393939 0 1
1414141.41414141 0 1
1434343.43434343 0 1
1454545.45454545 0 1
1474747.47474747 0 1
1494949.49494949 0 1
1515151.51515152 0 1
1535353.53535354 0 1
1555555.55555556 0 1
1575757.57575758 0 1
1595959.5959596 0 1
1616161.61616162 0 1
1636363.63636364 0 1
1656565.65656566 0 1
1676767.67676768 0 1
1696969.6969697 0 1
1717171.71717172 0 1
1737373.73737374 0 1
1757575.75757576 0 1
1777777.77777778 0 1
1797979.7979798 0 1
1818181.81818182 0 1
1838383.83838384 0 1
1858585.85858586 0 1
1878787.87878788 0 1
1898989.8989899 0 1
1919191.91919192 0 1
1939393.93939394 0 1
1959595.95959596 0 1
1979797.97979798 0 1
2e+06 0 1
